date,actual,naive,timesfm
2024-01-05,8325.0,7558.0,8244.73828125
2024-01-12,8269.0,8054.0,8331.7265625
2024-01-19,7880.0,8142.0,8376.33984375
2024-01-26,8144.0,8491.0,8358.5634765625
2024-02-02,8807.0,8428.0,8423.0546875
2024-02-09,8168.0,8274.0,8580.541015625
2024-02-16,8200.0,8910.0,8511.84765625
2024-02-23,8467.0,9112.0,8476.6357421875
2024-03-01,9013.0,8562.0,8487.7353515625
2024-03-08,9044.0,8594.0,8654.302734375
2024-03-15,8809.0,8960.0,8764.4072265625
2024-03-22,8715.0,9145.0,8805.080078125
2024-03-29,9236.0,9295.0,8797.40234375
2024-04-05,8612.0,8936.0,8896.1455078125
2024-04-12,8662.0,8519.0,8812.103515625
2024-04-19,8423.0,9511.0,8798.896484375
2024-04-26,8618.0,8618.0,8714.75
2024-05-03,8797.0,9303.0,8745.435546875
2024-05-10,8875.0,8908.0,8786.875
2024-05-17,9315.0,9437.0,8891.626953125
2024-05-24,9148.0,9098.0,8992.3671875
2024-05-31,8946.0,9218.0,9044.0859375
2024-06-07,9040.0,9193.0,9013.6259765625
2024-06-14,9386.0,9375.0,9003.48046875
2024-06-21,8969.0,9306.0,9122.634765625
2024-06-28,9424.0,9599.0,9056.6875
2024-07-05,9398.0,8756.0,9054.740234375
2024-07-12,8783.0,8855.0,9063.439453125
2024-07-19,9456.0,8939.0,8940.041015625
2024-07-26,9250.0,8838.0,9104.560546875
2024-08-02,8967.0,9302.0,9120.150390625
2024-08-09,9045.0,8851.0,9032.501953125
2024-08-16,9193.0,8910.0,9021.6572265625
2024-08-23,9307.0,9068.0,9053.2578125
2024-08-30,8938.0,9321.0,9085.21875
2024-09-06,8478.0,8307.0,8926.1796875
2024-09-13,8776.0,8410.0,8728.564453125
2024-09-20,9205.0,8619.0,8749.8515625
2024-09-27,8521.0,8014.0,8887.8203125
2024-10-04,9654.0,8581.0,8809.3251953125
2024-10-11,8620.0,8943.0,9039.16796875
2024-10-18,8838.0,8864.0,8941.8359375
2024-10-25,9159.0,8697.0,8952.568359375
2024-11-01,8828.0,9492.0,9032.1318359375
2024-11-08,9383.0,8949.0,8877.24609375
2024-11-15,8419.0,8480.0,8849.39453125
2024-11-22,8506.0,8206.0,8686.529296875
2024-11-29,8738.0,8466.0,8646.546875
2024-12-06,8810.0,8859.0,8740.4775390625
2024-12-13,8927.0,8754.0,8791.51171875
2024-12-20,9008.0,9168.0,8850.697265625
2024-12-27,8168.0,7954.0,8626.3984375
